"gutenberg_id" "text"
110 "<CHAPTER I>"
110 ""
110 "On an evening in the latter part of May a middle-aged man was walking"
110 "homeward from Shaston to the village of Marlott, in the adjoining Vale"
110 "of Blakemore, or Blackmoor. The pair of legs that carried him were"
110 "rickety, and there was a bias in his gait which inclined him somewhat"
110 "to the left of a straight line. He occasionally gave a smart nod, as if"
110 "in confirmation of some opinion, though he was not thinking of anything"
110 "in particular. An empty egg-basket was slung upon his arm, the nap of"
110 "his hat was ruffled, a patch being quite worn away at its brim where"
110 "his thumb came in taking it off. Presently he was met by an elderly"
110 "parson astride on a gray mare, who, as he rode, hummed a wandering"
110 "tune."
110 ""
110 "“Good night t’ee,” said the man with the basket."
110 ""
110 "“Good night, Sir John,” said the parson."
110 ""
110 "The pedestrian, after another pace or two, halted, and turned round."
110 ""
110 "“Now, sir, begging your pardon; we met last market-day on this road"
110 "about this time, and I said ‘Good night,’ and you made reply ‘_Good"
110 "night, Sir John_,’ as now.”"
110 ""
110 "“I did,” said the parson."
110 ""
110 "“And once before that—near a month ago.”"
110 ""
110 "“I may have.”"
110 ""
110 "“Then what might your meaning be in calling me ‘Sir John’ these"
110 "different times, when I be plain Jack Durbeyfield, the haggler?”"
110 ""
110 "The parson rode a step or two nearer."
110 ""
110 "“It was only my whim,” he said; and, after a moment’s hesitation: “It"
110 "was on account of a discovery I made some little time ago, whilst I was"
110 "hunting up pedigrees for the new county history. I am Parson Tringham,"
110 "the antiquary, of Stagfoot Lane. Don’t you really know, Durbeyfield,"
110 "that you are the lineal representative of the ancient and knightly"
110 "family of the d’Urbervilles, who derive their descent from Sir Pagan"
110 "d’Urberville, that renowned knight who came from Normandy with William"
110 "the Conqueror, as appears by Battle Abbey Roll?”"
110 ""
110 "“Never heard it before, sir!”"
110 ""
110 "“Well it’s true. Throw up your chin a moment, so that I may catch the"
110 "profile of your face better. Yes, that’s the d’Urberville nose and"
110 "chin—a little debased. Your ancestor was one of the twelve knights who"
110 "assisted the Lord of Estremavilla in Normandy in his conquest of"
110 "Glamorganshire. Branches of your family held manors over all this part"
110 "of England; their names appear in the Pipe Rolls in the time of King"
110 "Stephen. In the reign of King John one of them was rich enough to give"
110 "a manor to the Knights Hospitallers; and in Edward the Second’s time"
110 "your forefather Brian was summoned to Westminster to attend the great"
110 "Council there. You declined a little in Oliver Cromwell’s time, but to"
110 "no serious extent, and in Charles the Second’s reign you were made"
110 "Knights of the Royal Oak for your loyalty. Aye, there have been"
110 "generations of Sir Johns among you, and if knighthood were hereditary,"
110 "like a baronetcy, as it practically was in old times, when men were"
110 "knighted from father to son, you would be Sir John now.”"
110 ""
110 "“Ye don’t say so!”"
110 ""
110 "“In short,” concluded the parson, decisively smacking his leg with his"
110 "switch, “there’s hardly such another family in England.”"
110 ""
110 "“Daze my eyes, and isn’t there?” said Durbeyfield. “And here have I"
110 "been knocking about, year after year, from pillar to post, as if I was"
110 "no more than the commonest feller in the parish.... And how long hev"
110 "this news about me been knowed, Pa’son Tringham?”"
110 ""
110 "The clergyman explained that, as far as he was aware, it had quite died"
110 "out of knowledge, and could hardly be said to be known at all. His own"
110 "investigations had begun on a day in the preceding spring when, having"
110 "been engaged in tracing the vicissitudes of the d’Urberville family, he"
110 "had observed Durbeyfield’s name on his waggon, and had thereupon been"
110 "led to make inquiries about his father and grandfather till he had no"
110 "doubt on the subject."
110 ""
110 "“At first I resolved not to disturb you with such a useless piece of"
110 "information,” said he. “However, our impulses are too strong for our"
110 "judgement sometimes. I thought you might perhaps know something of it"
110 "all the while.”"
110 ""
110 "“Well, I have heard once or twice, ’tis true, that my family had seen"
110 "better days afore they came to Blackmoor. But I took no notice o’t,"
110 "thinking it to mean that we had once kept two horses where we now keep"
110 "only one. I’ve got a wold silver spoon, and a wold graven seal at home,"
110 "too; but, Lord, what’s a spoon and seal?... And to think that I and"
110 "these noble d’Urbervilles were one flesh all the time. ’Twas said that"
110 "my gr’t-granfer had secrets, and didn’t care to talk of where he came"
